Name,Country,Lat,Long,Elev, Pop , Terrain ,Note
Enniscorthy,Ireland,52.502064,-6.565876,6,"11,381", Inland Flat ,
Limerick,Ireland,52.6640439,-8.629915,4,"94,192", Inland Flat ,
Dubin1,Ireland,53.3429506,-6.258419,13,"1,388,000", Coastal Flat ,Costa by Trinity
Dublin2,Ireland,53.3291051,-6.2347555,6,"1,388,000", Coastal Flat ,Ballsbridge
Dublin3,Ireland,53.3396883,-6.2373754,10,"1,388,000", Coastal Flat ,GC Dock - Aviva
Lahinch,Ireland,52.93183,-9.34662,6,638, Coastal Flat ,
Wexford,Ireland,52.3395319,-6.4682334,23,"20,188", Coastal Flat ,
Newcastle,England,54.9714745,-1.6225984,56,"268,064", Coastal Flat ,
Matlock,England,53.1374534,-1.5592921,91,"9,543", Inland Hilly ,
Buenos Aires1,Argentina,-34.6071856,-58.3745495,6,"15,594,428", Coastal Flat ,El Dique 
Buenos Aires2,Argentina,-34.5812198,-58.4277645,11,"15,594,428", Coastal Flat ,Palermo
Buenos Aires3,Argentina,-34.6350898,-58.3725637,16,"15,594,428", Coastal Flat ,La Boca
Salta,Argentina,-24.7879843,-65.4119415,1152,"1,333,000", Inland Hilly ,
San Juan,Argentina,-31.5366402,-68.5264384,641,"537,000", Inland Flat ,
Mendoza,Argentina,-32.8899974,-68.84616,769,"1,055,679", Inland Flat ,
Vancouver1,Canada,49.2835948,-123.1105376,18,"2,463,431", Coastal Cliffs ,Gastown
Vancouver2,Canada,49.2727038,-123.1588173,6,"2,463,431", Coastal Cliffs ,Kits Beach
Vancouver3,Canada,49.0225317,-122.8088427,6,"2,463,431", Coastal Flat ,Whiterock
Smthers,Canada,54.7808586,-127.1718983,497,"5,351", Inland Hilly ,
Madrid,Spain,40.4151323,-3.7090488,663,"6,642,000", Inland Flat ,
Sevilla,Spain,37.386595,-5.9950896,20,"1,950,000", Inland Flat ,
Huelva,Spain,52.7296364,-7.3235362,10,"524,576", Coastal Flat ,
