Name,Country,Lat,Long,Elev,Pop,Terrain ,Avg Temp,Min Temp,Max Temp,Ann Ppt,MinM Ppt,MaxM Ppt,Note
Limerick1,Ireland,52.6618167,-8.6338845,4,94192, Inland Flat ,10.1,2.8,19.5,981,59,112,
Limerick2,Ireland,52.6699507,-8.6274736,4,94192, Inland Flat ,10.1,2.8,19.5,981,59,112,
Dublin1,Ireland,53.3429506,-6.258419,13,1388000, Coastal Flat ,9.7,2.4,19.4,767,52,80,Costa by Trinity
Dublin2,Ireland,53.3291051,-6.2347555,6,1388000, Coastal Flat ,9.7,2.4,19.4,767,52,80,Ballsbridge
Dublin3,Ireland,53.3396883,-6.2373754,10,1388000, Coastal Flat ,9.7,2.4,19.4,767,52,80,GC Dock - Aviva
Lahinch,Ireland,52.93183,-9.34662,6,638, Coastal Flat ,9.9,2.5,18.6,1153,63,137,Doolin weather
Wexford,Ireland,52.3395319,-6.4682334,23,20188, Coastal Flat ,10.1,3.1,19,941,55,104,
Newcastle1,England,54.9696898,-1.6107585,30,268064, Coastal Flat ,8.5,3,18.8,655,44,71,Quatside
Newcastle2,,54.9772516,-1.6265084,56,268064, Coastal Flat ,8.5,3,18.8,655,44,71,St James Park
Newcastle3,,55.0213629,-1.4352777,12,67519, Coastal Flat ,8.5,3,18.8,655,44,71,Tynemouth
Matlock,England,53.1374534,-1.5592921,91,9543, Inland Hilly ,10.5,4.3,21.8,959,58,94,Manchester weather
Buenos Aires1,Argentina,-34.6071856,-58.3745495,6,15594428, Coastal Flat ,16.8,6.5,29.2,1040,59,115,El Dique 
Buenos Aires2,Argentina,-34.5812198,-58.4277645,11,15594428, Coastal Flat ,16.8,6.5,29.2,1040,59,115,Palermo
Buenos Aires3,Argentina,-34.6350898,-58.3725637,16,15594428, Coastal Flat ,16.8,6.5,29.2,1040,59,115,La Boca
Salta1,Argentina,-24.7879843,-65.4119415,1152,1333000, Inland Hilly ,16.9,1.6,28.4,689,3,176,
Salta2,Argentina,-24.7799482,-65.4135935,1152,1333000, Inland Hilly ,16.9,1.6,28.4,689,3,176,
Salta3,Argentina,-24.7932926,-65.4118017,1152,1333000, Inland Hilly ,16.9,1.6,28.4,689,3,176,
San Juan,Argentina,-31.5366402,-68.5264384,641,537000, Inland Flat ,17.2,-0.1,34,94,2,20,
Mendoza,Argentina,-32.8899974,-68.84616,769,1055679, Inland Flat ,16.4,1.3,32,213,6,34,
Vancouver1,Canada,49.2835948,-123.1105376,18,2463431, Coastal Cliffs ,9.9,0,22.6,1283,36,198,Gastown
Vancouver2,Canada,49.2727038,-123.1588173,6,2463431, Coastal Cliffs ,9.9,0,22.6,1283,36,198,Kits Beach
Vancouver3,Canada,49.0225317,-122.8088427,6,2463431, Coastal Flat ,9.9,0,22.6,1283,36,198,Whiterock
Vancouver5,Canada,49.2817572,-122.7975223,45,2463431, Inland Hilly ,9.7,-1,23.2,1500,42,228,Coquitlam
Vancouver6,Canada,49.2781176,-122.8526256,11,2463431, Inland Hilly ,9.8,-0.7,23.3,1462,41,222,Port Moody
Smithers,Canada,54.7808586,-127.1718983,497,5351, Inland Hilly ,3.9,-13.1,21.8,537,19,66,
Madrid,Spain,40.4151323,-3.7090488,663,6642000, Inland Flat ,13.7,1.4,30.8,450,11,58,
Sevilla,Spain,37.386595,-5.9950896,20,1950000, Inland Flat ,18.6,5.7,36.2,576,1,87,
Huelva,Spain,37.2577856,-6.9545177,10,524576, Coastal Flat ,17.8,7.7,29.5,467,1,74,
Cork,Ireland,51.8994865,-8.4737268,4,124391, Coastal Cliffs ,10.4,3.7,18.9,1055,59,119,
Athlone,Ireland,53.4242884,-7.9404104,43,21351, Inland Flat ,9.2,1.6,18.9,931,57,97,
Vancouver4,Canada,49.2845676,-123.1305577,36,2463431, Coastal Cliffs ,9.9,0,22.6,1283,36,198,
Victoria,Canada,48.4230996,-123.3742433,10,335696, Coastal Cliffs ,9.8,1.9,20.1,716,55,121,
Vernon,Canada,50.2610344,-119.2754427,380,40116,Inland Hilly,7.5,-8.5,27.2,448,25,53,
Kelowna,Canada,49.8879414,-119.4977448,341,132084,Inland Hilly,8.3,-3.8,28.2,347,20,37,
Howth,Ireland,53.3862101,-6.0748798,23,8706, Coastal Cliffs ,9.7,2.4,19.4,767,52,80,Dublin weather
Waterford,Ireland,52.2598867,-7.1155409,32,53504, Coastal Flat ,10.1,2.6,19.6,984,58,106,
